verb		list	atpdwnv	ttpupv	tbdwnv	abupv	allacrh	tlracrh	trlacrh	arracrh		upwrd	dwnwrd	vert	left	right	horiz	toward	away
abandon		2	1.19	1.31	0.78	0.13	0.69	1.00	1.34	1.06		1.44	1.97	3.41	2.03	2.06	4.09	4.44	3.06
abduct		3	0.87	1.27	0.23	0.73	1.20	0.90	1.07	1.43		2.00	1.10	3.10	2.27	2.33	4.60	3.47	4.23
accept		3	0.47	1.20	0.47	0.37	0.73	1.63	1.73	0.77	 	1.57	0.93	2.50	2.47	2.40	4.87	5.03	2.33
acquire		3	0.83	1.17	0.47	0.53	1.13	1.50	1.33	0.90	 	1.70	1.30	3.00	2.47	2.40	4.87	4.47	3.40
admire		3	0.53	0.00	0.00	3.20	1.80	0.10	0.00	1.23		3.20	0.53	3.73	1.80	1.33	3.13	0.10	6.77
adopt		2	1.09	1.09	0.44	0.59	1.34	0.97	1.06	1.31		1.69	1.53	3.22	2.41	2.28	4.69	3.56	4.34
advance		2	0.25	1.13	0.00	1.56	2.63	0.16	0.97	0.72		2.69	0.25	2.94	3.59	0.88	4.47	2.25	5.16
alarm		1	1.67	0.60	0.00	1.50	1.20	0.27	0.13	1.07		2.10	1.67	3.77	1.33	1.33	2.67	1.00	5.43
alienate	1	1.17	0.23	0.80	0.60	1.43	0.73	0.90	1.63		0.83	1.97	2.80	2.33	2.37	4.70	2.67	4.83
allow		1	0.60	0.73	0.43	0.63	1.17	1.40	1.03	0.77		1.37	1.03	2.40	2.20	2.17	4.37	3.60	3.17
amuse		1	0.37	0.60	0.27	1.37	1.87	0.37	0.27	1.30		1.97	0.63	2.60	2.13	1.67	3.80	1.50	4.90
annoy		2	1.47	0.25	0.56	1.19	2.28	0.25	0.59	1.63		1.44	2.03	3.47	2.88	1.88	4.75	1.66	6.56
argue		1	0.63	0.00	0.00	0.33	2.83	0.60	0.70	2.70		0.33	0.63	0.97	3.53	3.30	6.83	1.30	6.50
arise		add	0.33	3.17	0.08	3.17	0.42	0.17	0.17	0.25		6.33	0.42	6.75	0.58	0.42	1.00	3.58	4.17
arrive		3	1.83	0.00	0.00	1.59	3.31	0.10	0.00	1.79		1.59	1.83	3.41	3.31	1.90	5.21	0.10	8.52
arrives		2	0.19	1.53	1.41	0.25	0.94	0.66	2.44	0.00		1.78	1.59	3.38	3.38	0.66	4.03	6.03	1.38
ascend		*	0.18	2.18	0.00	2.98	0.10	0.00	0.00	0.03		5.17	0.18	5.35	0.10	0.03	0.13	2.18	3.30
attack		2	2.81	0.00	0.00	1.66	2.16	0.13	0.00	1.44		1.66	2.81	4.47	2.16	1.56	3.72	0.13	8.06
attract		3	0.13	1.50	0.97	0.20	0.53	2.43	2.47	0.33		1.70	1.10	2.80	3.00	2.77	5.77	7.37	1.20
awe		1	1.10	0.67	0.13	1.93	0.77	0.10	0.23	0.30		2.60	1.23	3.83	1.00	0.40	1.40	1.13	4.10
balloon		2	0.56	3.13	0.31	2.13	0.41	0.09	0.13	0.00		5.25	0.88	6.13	0.53	0.09	0.63	3.66	3.09
banish		1	2.10	0.00	0.00	0.40	2.10	0.23	0.00	1.57		0.40	2.10	2.50	2.10	1.80	3.90	0.23	6.17
begin		3	0.93	0.40	0.37	0.80	2.53	0.17	0.67	0.90		1.20	1.30	2.50	3.20	1.07	4.27	1.60	5.17
believe		2	1.06	0.63	0.22	1.44	1.31	0.66	0.81	0.59		2.06	1.28	3.34	2.13	1.25	3.38	2.31	4.41
bless		1	2.77	0.13	0.10	1.07	1.47	0.00	0.00	0.93		1.20	2.87	4.07	1.47	0.93	2.40	0.23	6.23
block		2	0.72	0.97	0.34	0.31	1.72	1.00	0.94	1.50		1.28	1.06	2.34	2.66	2.50	5.16	3.25	4.25
bloom		1	0.13	1.93	0.00	2.67	0.40	0.00	0.13	0.20		4.60	0.13	4.73	0.53	0.20	0.73	2.07	3.40
blossom		3	0.17	2.60	0.00	2.30	0.43	0.03	0.20	0.13		4.90	0.17	5.07	0.63	0.17	0.80	2.83	3.03
bomb		3	3.69	0.00	0.00	0.21	0.83	0.00	0.00	0.31		0.21	3.69	3.90	0.83	0.31	1.14	0.00	5.03
boost		add	0.58	3.08	0.25	2.58	0.83	0.08	0.42	0.25		5.67	0.83	6.50	1.25	0.33	1.58	3.83	4.25
borrow		3	0.40	0.60	0.50	0.03	1.13	2.03	1.93	0.60		0.63	0.90	1.53	3.07	2.63	5.70	5.07	2.17
bounce		*	2.48	1.27	0.78	1.48	0.15	0.03	0.00	0.07		2.75	3.27	6.02	0.15	0.10	0.25	2.08	4.18
breathe		1	0.90	1.10	0.43	1.50	1.50	0.50	0.73	0.70		2.60	1.33	3.93	2.23	1.20	3.43	2.77	4.60
bring		2	0.56	0.31	0.31	0.19	1.63	1.13	1.53	1.31		0.50	0.88	1.38	3.16	2.44	5.59	3.28	3.69
burn		1	1.17	1.03	0.63	1.57	0.23	0.27	0.33	0.23		2.60	1.80	4.40	0.57	0.50	1.07	2.27	3.20
buy		3	0.93	0.53	0.10	1.07	1.17	1.77	1.37	0.53		1.60	1.03	2.63	2.53	2.30	4.83	3.77	3.70
carry		2	0.91	1.28	0.59	2.06	0.41	0.22	0.44	0.13		3.34	1.50	4.84	0.84	0.34	1.19	2.53	3.50
cascade		add	2.17	0.50	3.08	0.58	0.75	0.08	0.08	0.58		1.08	5.25	6.33	0.83	0.67	1.50	3.75	4.08
catch		3	0.53	0.40	1.83	1.07	0.90	0.80	0.97	0.50		1.47	2.37	3.83	1.87	1.30	3.17	4.00	3.00
chase		1	0.87	0.00	0.00	1.40	3.53	0.10	0.00	1.97		1.40	0.87	2.27	3.53	2.07	5.60	0.10	7.77
clamber		3	0.00	1.53	0.37	2.40	0.67	0.43	0.37	0.33		3.93	0.37	4.30	1.03	0.77	1.80	2.70	3.40
climb		*	0.10	1.60	0.00	3.45	0.20	0.00	0.00	0.00		5.05	0.10	5.15	0.20	0.00	0.20	1.60	3.75
collapse	add	2.33	0.08	3.67	0.25	0.50	0.50	0.50	0.58		0.33	6.00	6.33	1.00	1.08	2.08	4.75	3.67
collect		3	0.87	1.10	0.47	0.30	1.17	1.70	1.20	0.97		1.40	1.33	2.73	2.37	2.67	5.03	4.47	3.30
commend		1	1.40	0.13	0.00	1.93	1.33	0.20	0.00	0.50		2.07	1.40	3.47	1.33	0.70	2.03	0.33	5.17
compliment	2	0.72	0.00	0.13	1.53	2.88	0.09	0.06	1.69		1.53	0.84	2.38	2.94	1.78	4.72	0.28	6.81
condemn		2	0.04	0.00	0.00	0.06	0.04	0.01	0.00	0.02		0.06	0.04	0.14	0.04	0.02	0.06	0.01	0.16
confiscate	3	1.13	0.83	0.20	0.67	0.83	1.33	1.40	0.50		1.50	1.33	2.83	2.23	1.83	4.07	3.77	3.13
corrode		3	1.60	0.20	2.17	0.00	0.23	0.87	0.57	0.43		0.20	3.77	3.97	0.80	1.30	2.10	3.80	2.27
cough		3	0.63	0.27	0.50	0.60	2.33	0.67	0.67	1.33		0.87	1.13	2.00	3.00	2.00	5.00	2.10	4.90
cover		2	2.78	0.31	0.09	0.59	1.06	0.34	0.31	1.28		0.91	2.88	3.78	1.38	1.63	3.00	1.06	5.72
